mechanics,collectible,race,name,faction,text,artist,rarity,attack,cost,health,howToGetGold,inPlayText,flavor,howToGet,type,id,playerClass,elite,durability
,,,AFK,,Your turns are shorter.,,,,,,,,,,Enchantment,GAME_004,,,
['Battlecry'],True,,Acidic Swamp Ooze,Alliance,<b>Battlecry:</b> Destroy your opponent's weapon.,Chris Rahn,Common,3,2,2,Unlocked at Rogue Level 57.,,Oozes love Flamenco.  Don't ask.,,Minion,EX1_066,,,
,True,,Ancestral Healing,Neutral,Restore a minion to full Health and give it <b>Taunt</b>.,Dan Scott,Free,,0,,Unlocked at Level 15.,,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.",Unlocked at Level 1.,Spell,CS2_041,Shaman,,
['Taunt'],,,Ancestral Infusion,,Taunt.,,,,,,,,,,Enchantment,CS2_041e,Shaman,,
,True,,Anduin Wrynn,Neutral,,,Free,,,30,,,,,Hero,HERO_09,Priest,,
,True,,Animal Companion,,Summon a random Beast Companion.,Wei Wang,Common,,3,,Unlocked at Level 45.,,"You could summon Misha, Leokk, or Huffer!  Huffer is more trouble than he's worth.",Unlocked at Level 2.,Spell,NEW1_031,Hunter,,
,True,,Arcane Explosion,Neutral,Deal $1 damage to all enemy minions.,Howard Lyon,Free,,2,,Unlocked at Level 28.,,This spell is much better than Arcane Implosion.,Unlocked at Level 1.,Spell,CS2_025,Mage,,
,True,,Arcane Intellect,Neutral,Draw 2 cards.,Dave Berggren,Free,,3,,Unlocked at Level 15.,,Playing this card makes you SMARTER.  And let's face it: we could all stand to be a little smarter.,Unlocked at Level 1.,Spell,CS2_023,Mage,,
['ImmuneToSpellpower'],True,,Arcane Missiles,Neutral,Deal $3 damage randomly split among enemy characters.,Warren Mahy,Free,,1,,Unlocked at Level 32.,,You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.,Unlocked at Level 1.,Spell,EX1_277,Mage,,
,True,,Arcane Shot,Neutral,Deal $2 damage.,Luca Zontini,Free,,1,,Unlocked at Level 32.,,"Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves.  The resulting loss of jobs sent Stormwind into a minor recession.",Unlocked at Level 1.,Spell,DS1_185,Hunter,,
,True,,Arcanite Reaper,Neutral,,Stefan Kopinski,Common,5,5,,Unlocked at Level 51.,,No… actually you should fear the Reaper.,Unlocked at Level 10.,Weapon,CS2_112,Warrior,,2
['Spellpower'],True,,Archmage,Alliance,<b>Spell Damage +1</b>,Steve Ellis,Common,4,6,7,Unlocked at Mage Level 57.,,You earn the title of Archmage when you can destroy anyone who calls you on it.,,Minion,CS2_155,,,
,,,Armor Up!,Neutral,"<b>Hero Power</b>
Gain 2 Armor.",,Free,,2,,,,,,Hero Power,CS2_102,Warrior,,
,True,,Assassin's Blade,Neutral,,Brian Huang,Common,3,5,,Unlocked at Level 32.,,Guaranteed to have been owned by a real assassin.   Certificate of authenticity included.,Unlocked at Level 2.,Weapon,CS2_080,Rogue,,4
,True,,Assassinate,Neutral,Destroy an enemy minion.,Glenn Rane,Free,,5,,Unlocked at Level 47.,,"If you don't want to be assassinated, move to the Barrens and change your name. Good luck!",Unlocked at Level 1.,Spell,CS2_076,Rogue,,
,,,Avatar of the Coin,,"<i>You lost the coin flip, but gained a friend.</i>",,Free,1,0,1,,,,,Minion,GAME_002,,,
,True,,Backstab,Neutral,Deal $2 damage to an undamaged minion.,Michael Sutfin,Free,,0,,Unlocked at Level 36.,,"It's funny how often yelling ""Look over there!"" gets your opponent to turn around.",Unlocked at Level 1.,Spell,CS2_072,Rogue,,
,,,Berserking,,This minion has increased Attack.,,,,,,,,,,Enchantment,EX1_399e,,,
,True,,Blessing of Kings,Neutral,Give a minion +4/+4. <i>(+4 Attack/+4 Health)</i>,Lucas Graciano,Common,,4,,Unlocked at Level 49.,,"Given the number of kings who have been assassinated, are you sure you want their blessing?",Unlocked at Level 10.,Spell,CS2_092,Paladin,,
,,,Blessing of Kings,,+4/+4.,,,,,,,,,,Enchantment,CS2_092e,Paladin,,
,True,,Blessing of Might,Neutral,Give a minion +3 Attack.,Zoltan Boros,Free,,1,,Unlocked at Level 45.,,"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed.",Unlocked at Level 1.,Spell,CS2_087,Paladin,,
,,,Blessing of Might,Neutral,+3 Attack.,,,,,,,,,,Enchantment,CS2_087e,Paladin,,
,True,Beast,Bloodfen Raptor,Horde,,Dan Brereton,Free,3,2,2,Unlocked at Hunter Level 57.,,"""Kill 30 raptors."" - Hemet Nesingwary",,Minion,CS2_172,,,
