mechanics,collectible,race,name,faction,text,artist,rarity,attack,cost,health,howToGetGold,inPlayText,flavor,howToGet,type,id,playerClass,elite,durability
['OneTurnEffect'],,,'Inspired',,This minion has +2 Attack this turn.,,,,,,,,,,Enchantment,CS2_188o,,,
"['Deathrattle', 'Taunt']",True,,Abomination,Neutral,<b>Taunt</b>. <b>Deathrattle:</b> Deal 2 damage to ALL characters.,Alex Horley Orlandelli,Rare,4,5,4,,,Abominations enjoy Fresh Meat and long walks on the beach.,,Minion,EX1_097,,,
['Battlecry'],True,,Abusive Sergeant,Alliance,<b>Battlecry:</b> Give a minion +2 Attack this turn.,Luca Zontini,Common,2,1,1,,,"ADD ME TO YOUR DECK, MAGGOT!",,Minion,CS2_188,,,
,True,,Acolyte of Pain,,"Whenever this minion takes damage, draw a card.",Dave Kendall,Common,1,3,3,,,"He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would.",,Minion,EX1_007,,,
"['Charge', 'Divine Shield', 'Taunt', 'Windfury']",True,,Al'Akir the Windlord,,"<b>Windfury, Charge, Divine Shield, Taunt</b>",Raymond Swanland,Legendary,3,8,5,,,He is the weakest of the four Elemental Lords.  And the other three don't let him forget it.,,Minion,NEW1_010,Shaman,True,
,True,Mech,Alarm-o-Bot,,"At the start of your turn, swap this minion with a random one in your hand.",Sean O’Daniels,Rare,0,3,3,,,WARNING.  WARNING.  WARNING.,,Minion,EX1_006,,,
['Battlecry'],True,,Aldor Peacekeeper,Neutral,<b>Battlecry:</b> Change an enemy minion's Attack to 1.,Dany Orizio,Rare,3,3,3,,,The Aldor hate two things: the Scryers and smooth jazz.,,Minion,EX1_382,Paladin,,
['Battlecry'],True,Dragon,Alexstrasza,Neutral,<b>Battlecry:</b> Set a hero's remaining Health to 15.,Raymond Swanland,Legendary,8,9,8,,,Alexstrasza the Life-Binder brings life and hope to everyone.  Except Deathwing.  And Malygos.  And Nekros.,,Minion,EX1_561,,True,
,,,Alexstrasza's Fire,,Health set to 15.,,,,,,,,,,Enchantment,EX1_561e,,,
['Enrage'],True,,Amani Berserker,Neutral,<b>Enrage:</b> +3 Attack,Chippy,Common,2,2,3,,,"If an Amani berserker asks ""Joo lookin' at me?!"", the correct response is ""Nah, mon"".",,Minion,EX1_393,,,
,,,Ancestral Spirit,,<b>Deathrattle:</b> Resummon this minion.,,,,,,,,,,Enchantment,CS2_038e,Shaman,,
,True,,Ancestral Spirit,Neutral,"Give a minion ""<b>Deathrattle:</b> Resummon this minion.""",Zoltan & Gabor,Rare,,2,,,,It was just a flesh wound.,,Spell,CS2_038,Shaman,,
['Battlecry'],True,,Ancient Brewmaster,Alliance,<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.,Bernie Kang,Common,5,4,4,,,Most pandaren say his brew tastes like yak.  But apparently that's a compliment.,,Minion,EX1_057,,,
['Battlecry'],True,,Ancient Mage,Neutral,<b>Battlecry:</b> Give adjacent minions <b>Spell Damage +1</b>.,Howard Lyon,Rare,2,4,5,,,Sometimes he forgets and just wanders into someone else's game.,,Minion,EX1_584,,,
,,,Ancient Secrets,,Restore 5 Health.,,,,,,,,,,Spell,NEW1_008b,Druid,,
,,,Ancient Teachings,,Draw 2 cards.,,,,,,,,,,Spell,NEW1_008a,Druid,,
,True,,Ancient Watcher,Alliance,Can't Attack.,Richard Wright,Rare,4,2,5,,,Why do its eyes seem to follow you as you walk by?,,Minion,EX1_045,,,
,True,,Ancient of Lore,,<b>Choose One -</b> Draw 2 cards; or Restore 5 Health.,Patrik Hjelm,Epic,5,7,5,,,"Go ahead, carve your initials in him.",,Minion,NEW1_008,Druid,,
,True,,Ancient of War,Neutral,"<b>Choose One</b> -
+5 Attack; or +5 Health and <b>Taunt</b>.",Sean O’Daniels,Epic,5,7,5,,,"Young Night Elves love to play ""Who can get the Ancient of War to Uproot?""  You lose if you get crushed to death.",,Minion,EX1_178,Druid,,
['Enrage'],True,Beast,Angry Chicken,,<b>Enrage:</b> +5 Attack.,Mike Sass,Rare,1,1,1,,,There is no beast more frightening (or ridiculous) than a fully enraged chicken.,,Minion,EX1_009,,,
['Battlecry'],True,,Arathi Weaponsmith,Neutral,<b>Battlecry:</b> Equip a 2/2 weapon.,Samwise,Common,3,4,3,,,"50% off fist weapons, limited time only!",,Minion,EX1_398,Warrior,,
"['Battlecry', 'Charge']",True,,Arcane Golem,Neutral,<b>Charge</b>. <b>Battlecry:</b> Give your opponent a Mana Crystal.,Sedhayu Ardian,Rare,4,3,2,,,"Having Arcane golems at home really classes up the place, and as a bonus they are great conversation pieces.",,Minion,EX1_089,,,
,True,,Archmage Antonidas,Neutral,"Whenever you cast a spell, add a 'Fireball' spell to your hand.",Wayne Reynolds,Legendary,5,7,7,,Grand Magus,"Antonidas was the Grand Magus of the Kirin Tor, and Jaina's mentor.  This was a big step up from being Grand Magus of Jelly Donuts.",,Minion,EX1_559,Mage,True,
"['Charge', 'Divine Shield']",True,,Argent Commander,Neutral,"<b>Charge</b>, <b>Divine Shield</b>",James Ryman,Rare,4,6,2,,,"The Argent Dawn stands vigilant against the Scourge, as well as people who cut in line at coffee shops.",,Minion,EX1_067,,,
['Battlecry'],True,,Argent Protector,Neutral,<b>Battlecry:</b> Give a friendly minion <b>Divine Shield</b>.,Doug Alexander,Common,2,2,2,,,"""I'm not saying you can dodge fireballs.  I'm saying with this shield, you won't have to.""",,Minion,EX1_362,Paladin,,
['Divine Shield'],True,,Argent Squire,Alliance,<b>Divine Shield</b>,Zoltan & Gabor,Common,1,1,1,,,"""I solemnly swear to uphold the Light, purge the world of darkness, and to eat only burritos."" - The Argent Dawn Oath",,Minion,EX1_008,,,
,True,,Armorsmith,Neutral,"Whenever a friendly minion takes damage, gain 1 Armor.",Greg Hildebrandt,Rare,1,2,4,,Smithing,She accepts guild funds for repairs!,,Minion,EX1_402,Warrior,,
,,,Ashbringer,,,,Legendary,5,5,,,,,,Weapon,EX1_383t,Paladin,,3
['Aura'],True,,Auchenai Soulpriest,Neutral,Your cards and powers that restore Health now deal damage instead.,Doug Alexander,Rare,3,4,5,,,"The Auchenai know the end is coming, but they're not sure when.",,Minion,EX1_591,Priest,,
['ImmuneToSpellpower'],True,,Avenging Wrath,Neutral,Deal $8 damage randomly split among enemy characters.,Alex Garner,Epic,,6,,,,Wham! Wham! Wham! Wham! Wham! Wham! Wham! Wham!,,Spell,EX1_384,Paladin,,
"['Battlecry', 'Spellpower']",True,Dragon,Azure Drake,Neutral,<b>Spell Damage +1</b>. <b>Battlecry:</b> Draw a card.,Ben Zhang,Rare,4,5,4,,,"They initially planned to be the Beryl or Cerulean drakes, but those felt a tad too pretentious.",,Minion,EX1_284,,,
,,,Baine Bloodhoof,,,,Legendary,4,4,5,,,,,Minion,EX1_110t,,True,
,,,Bananas,,Has +1/+1.,,,,,,,,,,Enchantment,EX1_014te,,,
,,,Bananas,,Give a minion +1/+1.,,,,1,,,,,,Spell,EX1_014t,,,
,True,,Bane of Doom,Neutral,"Deal $2 damage to a character. If that kills it, summon a random Demon.",Raymond Swanland,Epic,,5,,,,"My advice to you is to avoid Doom, if possible.",,Spell,EX1_320,Warlock,,
,True,,Baron Geddon,Neutral,"At the end of your turn, deal 2 damage to ALL other characters.",Ian Ameling,Legendary,7,7,5,,,"Baron Geddon was Ragnaros's foremost lieutenant, until he got FIRED.",,Minion,EX1_249,,True,
,,,Battle Axe,,,,,2,1,,,,,,Weapon,EX1_398t,Warrior,,2
,True,,Battle Rage,Neutral,Draw a card for each damaged friendly character.,Alex Horley Orlandelli,Common,,2,,,,"""You won't like me when I'm angry.""",,Spell,EX1_392,Warrior,,
,,,Bear Form,Neutral,+2 Health and <b>Taunt</b>.,,Common,,,,,,,,Spell,EX1_165b,Druid,,
,,,Berserk,,Increased Attack.,,,,,,,,,,Enchantment,EX1_604o,Warrior,,
,True,,Bestial Wrath,Neutral,Give a friendly Beast +2 Attack and <b>Immune</b> this turn.,Alex Horley Orlandelli,Epic,,1,,,,"The seething wrath is just beneath the surface.  Beneath that is wild abandon, followed by slight annoyance.",,Spell,EX1_549,Hunter,,
['OneTurnEffect'],,,Bestial Wrath,,+2 Attack and <b>Immune</b> this turn.,,,,,,,,,,Enchantment,EX1_549o,Hunter,,
,True,,Betrayal,Neutral,Force an enemy minion to deal its damage to the minions next to it.,Lucas Graciano,Common,,2,,,,"Everyone has a price. Gnomes, for example, can be persuaded by stuffed animals and small amounts of chocolate.",,Spell,EX1_126,Rogue,,
['Battlecry'],True,,Big Game Hunter,,<b>Battlecry:</b> Destroy a minion with an Attack of 7 or more.,Chris Seaman,Epic,4,3,2,,,Mere devilsaurs no longer excite him.  Soon he'll be trying to catch Onyxia with only a dull Krol Blade.,,Minion,EX1_005,,,
,True,,Bite,Neutral,Give your hero +4 Attack this turn and 4 Armor.,Tom Baxa,Rare,,4,,,,Chew your food!,,Spell,EX1_570,Druid,,
['OneTurnEffect'],,,Bite,,+4 Attack this turn.,,,,,,,,,,Enchantment,EX1_570e,,,
['AffectedBySpellPower'],True,,Blade Flurry,Neutral,Destroy your weapon and deal its damage to all enemies.,Hideaki Takamura,Rare,,2,,,,"""Look, it's not just about waving daggers around really fast.  It's a lot more complicated than that."" - Shan, Rogue Trainer",,Spell,CS2_233,Rogue,,
,,,Blarghghl,,Increased Attack.,,,,,,,,,,Enchantment,EX1_509e,,,
,,,Blessed Champion,,This minion's Attack has been doubled.,,,,,,,,,,Enchantment,EX1_355e,Paladin,,
,True,,Blessed Champion,,Double a minion's Attack.,Tyler Walpole,Rare,,5,,,,This card causes double the trouble AND double the fun.,,Spell,EX1_355,Paladin,,
,True,,Blessing of Wisdom,,"Choose a minion. Whenever it attacks, draw a card.",Chippy,Common,,1,,,,Apparently with wisdom comes the knowledge that you should probably be attacking every turn.,,Spell,EX1_363,Paladin,,
,,,Blessing of Wisdom,,"When this minion attacks, the player who blessed it draws a card.",,,,,,,,,,Enchantment,EX1_363e,Paladin,,
,,,Blessing of Wisdom,,"When this minion attacks, the enemy player draws a card.",,,,,,,,,,Enchantment,EX1_363e2,Paladin,,
['Freeze'],True,,Blizzard,Neutral,Deal $2 damage to all enemy minions and <b>Freeze</b> them.,Chris Seaman,Rare,,6,,,,This spell can be very Entertaining.,,Spell,CS2_028,Mage,,
,,,Blood Fury,,,,,3,3,,,,,,Weapon,EX1_323w,Warlock,,8
['Stealth'],True,Demon,Blood Imp,Neutral,"<b>Stealth</b>. At the end of your turn, give another random friendly minion +1 Health.",Bernie Kang,Common,0,1,1,,Blood Pact,Imps are content to hide and viciously taunt everyone nearby.,,Minion,CS2_059,Warlock,,
['Battlecry'],True,,Blood Knight,Neutral,<b>Battlecry:</b> All minions lose <b>Divine Shield</b>. Gain +3/+3 for each Shield lost.,Trent Kaniuga,Epic,3,3,3,,,"The Blood Knights get their holy powers from the Sunwell, which you should NOT bathe in.",,Minion,EX1_590,,,
,,,Blood Pact,,Increased Health.,,,,,,,,,,Enchantment,CS2_059o,Warlock,,
"['Deathrattle', 'Spellpower']",True,,Bloodmage Thalnos,Neutral,<b>Spell Damage +1</b>. <b>Deathrattle:</b> Draw a card.,Alex Horley Orlandelli,Legendary,1,2,1,,,He's in charge of the Annual Scarlet Monastery Blood Drive!,,Minion,EX1_012,,True,
,,,Bloodrage,,No durability loss.,,,,,,,,,,Enchantment,EX1_411e,Warrior,,
['Battlecry'],True,Pirate,Bloodsail Corsair,,<b>Battlecry:</b> Remove 1 Durability from your opponent's weapon.,Randy Gallegos,Rare,1,1,2,,,"Every pirate uses the same four digits to access Automated Gold Dispensers.  It's called the ""Pirate's Code"".",,Minion,NEW1_025,,,
['Battlecry'],True,Pirate,Bloodsail Raider,,<b>Battlecry:</b> Gain Attack equal to the Attack of your weapon.,Jim Nelson,Common,2,2,3,,,"""I only plunder on days that end in 'y'.""",,Minion,NEW1_018,,,
,,,Bolstered,,Increased Health.,,,,,,,,,,Enchantment,NEW1_025e,,,
,True,,Brawl,Neutral,Destroy all minions except one. <i>(chosen randomly)</i>,Wayne Reynolds,Epic,,5,,,,Do you know the first rule of Brawl Club?,,Spell,EX1_407,Warrior,,
