mechanics,collectible,race,name,faction,text,artist,rarity,attack,cost,health,howToGetGold,inPlayText,flavor,howToGet,type,id,playerClass,elite,durability
,,,-1 Durability,,Give a player's weapon -1 Durability.,,Common,,0,,,,,,Spell,XXX_048,,,
,,,1000 Stats,,Give a Minion +1000/+1000,,,,0,,,,,,Spell,XXX_055,,,
,,,1000 Stats Enchant,,,,,,,,,,,,Enchantment,XXX_055e,,,
,,,AI Buddy - All Charge!,,Spawn into play to give all minions <b>Charge</b>.,,,1,0,1,,,,,Minion,XXX_095,,,
,,,AI Buddy - Damage Own Hero 5,,Spawn into play to smack your own hero for 5.,,,1,0,1,,,,,Minion,XXX_096,,,
,,,AI Buddy - Destroy Minions,,Spawn into play to destroy all minions.,,,1,0,1,,,,,Minion,XXX_097,,,0
,,,AI Buddy - No Deck/Hand,,Spawn into play to destroy the AI's Hand and Deck.,,,1,0,1,,,,,Minion,XXX_098,,,0
,,,AI Helper Buddy,,Get the AI ready for testing.,,,1,0,1,,,,,Minion,XXX_099,,False,0
,,,Armor,,Give your Hero +100 Armor,,,,0,,,,,,Spell,XXX_053,,,
,,,Become Hogger,,Become Hogger for Video Recording.,,,,0,,,,,,Spell,XXX_039,,,
,,,Bounce,,Return a minion to its owner's hand.,,Common,,0,,,,,,Spell,XXX_012,,,
,,,Break Weapon,,Destroy a hero's weapon.,,Common,,0,,,,,,Spell,XXX_006,,,
,,,Crash,,Crash the game.,,Common,,0,,,,,,Spell,XXX_015,,,
['ImmuneToSpellpower'],,,Damage 1,,Deal 1 damage.,,Common,,0,,,,,,Spell,XXX_001,,,
['ImmuneToSpellpower'],,,Damage 5,,Deal 5 damage.,,Common,,0,,,,,,Spell,XXX_002,,,
,,,Damage Reflector,,"Whenever this minion takes damage, deal 1 damage to ALL other characters.",,Common,3,0,10,,,,,Minion,XXX_024,,,
['ImmuneToSpellpower'],,,Damage all but 1,,Set the Health of a character to 1.,,Common,,0,,,,,,Spell,XXX_020,,,
,,,Destroy,,Destroy a minion or hero.,,Common,,0,,,,,,Spell,XXX_005,,,
,,,Destroy All Heroes,,Destroy all heroes.,,Common,,0,,,,,,Spell,XXX_023,,,
,,,Destroy All Minions,,Destroy all minions.,,Common,,0,,,,,,Spell,XXX_018,,,
,,,Destroy Deck,,Delete an opponent's deck,,Common,,0,,,,,,Spell,XXX_047,,,
,,,Destroy Hero Power,,Destroy a player's Hero Power.,,Common,,0,,,,,,Spell,XXX_041,,,
,,,Destroy Secrets,,Choose a hero. Destroy all <b>Secrets</b> controlled by that hero.,,,,0,,,,,,Spell,XXX_057,,,
,,,Destroy a Mana Crystal,,Pick a player and destroy one of his Mana Crystals.,,Common,,0,,,,,,Spell,XXX_050,,,
,,,Destroy all Mana,,Destroy all of a player's Mana Crystals.,,Common,,0,,,,,,Spell,XXX_049,,,
,,,Discard,,Choose a hero.  That hero's controller discards his hand.,,Common,,0,,,,,,Spell,XXX_013,,,
,,,Do Nothing,,This does nothing.,,Common,,0,,,,,,Spell,XXX_025,,,
,,,Draw 3 Cards,,Draw 3 cards.,,Common,,0,,,,,,Spell,XXX_017,,,
,,,Empty Enchant,,This enchantment does nothing.,,Common,,,,,,,,Enchantment,XXX_009e,,,
,,,Enable Emotes,,"Enable emotes for your VS.AI game. (not in tutorials, though)",,Common,,0,,,,,,Spell,XXX_026,,,
,,,Enable for Attack,,Give a character Charge and make him able to attack!,,Common,,0,,,,,,Spell,XXX_007,,,
,,,Enchant,,Enchant a minion with an empty enchant.,,Common,,0,,,,,,Spell,XXX_009,,,
