mechanics,collectible,race,name,faction,text,artist,rarity,attack,cost,health,howToGetGold,inPlayText,flavor,howToGet,type,id,playerClass,elite,durability
,True,,Ancestor's Call,,Put a random minion from each player's hand into the battlefield.,Dan Scott,Epic,,4,,,,"""Hey! Ancestors!"" - Ancestor's call",,Spell,GVG_029,Shaman,,
,True,Mech,Anima Golem,,"At the end of each turn, destroy this minion if it's your only one.",Josh Harris,Epic,9,6,9,,,The Dark Animus is evil and mysterious and huge and unable to write sentences that utilize proper grammar.,,Minion,GVG_077,Warlock,,
"['Divine Shield', 'Taunt']",True,Mech,Annoy-o-Tron,,"<b>Taunt</b>
<b>Divine Shield</b>",Matt Dixon,Common,1,2,2,,,"The inventor of the Annoy-o-Tron was immediately expelled from Tinkerschool, Tinkertown, and was eventually exiled from the Eastern Kingdoms altogether.",,Minion,GVG_085,,,
['Taunt'],True,Mech,Anodized Robo Cub,,"<b>Taunt</b>. <b>Choose One -</b>
+1 Attack; or +1 Health.",Eva Widermann,Common,2,2,2,,,It's adorable! AND OH MY GOODNESS WHY IS IT EATING MY FACE,,Minion,GVG_030,Druid,False,
['Battlecry'],True,Mech,Antique Healbot,,<b>Battlecry:</b> Restore 8 Health to your hero.,Jesper Esjing,Common,3,5,3,,,"They don't make 'em like they used to! (Because of explosions, mostly.)",,Minion,GVG_069,,,
['Taunt'],True,Mech,Arcane Nullifier X-21,,"<b>Taunt</b>
Can't be targeted by spells or Hero Powers.",Zero Yue,Rare,2,4,5,,,There was some hard talk between gnome magi and engineers about inventing this mech.,,Minion,GVG_091,,,
,,,Armor Plated,,Increased Attack.,,,,,,,,,,Enchantment,GVG_086e,Warrior,,
,,,Armor Plating,,+1 Health.,,,,,,,,,,Enchantment,PART_001e,,,
,,,Armor Plating,,Give a minion +1 Health.,Nutchapol Thitinunthakorn,,,1,,,,,,Spell,PART_001,,,
,,,Attack Mode,,+1 Attack.,,,,,,,,,,Spell,GVG_030a,Druid,,
,,,Attack Mode,,+1 Attack.,,,,,,,,,,Enchantment,GVG_030ae,Druid,,
['Battlecry'],True,Mech,Blingtron 3000,,<b>Battlecry:</b> Equip a random weapon for each player.,Jomaro Kindred,Legendary,3,5,4,,,PREPARE PARTY SERVOS FOR IMMEDIATE DEPLOYMENT.,,Minion,GVG_119,,True,
,True,,Bolvar Fordragon,,"Whenever a friendly minion dies while this is in your hand, gain +1 Attack.",Tooth,Legendary,1,5,7,,,Spoiler alert: Bolvar gets melted and then sits on an ice throne and everyone forgets about him.,,Minion,GVG_063,Paladin,True,
['Battlecry'],True,,Bomb Lobber,,<b>Battlecry:</b> Deal 4 damage to a random enemy minion.,Luca Zontini,Rare,3,5,3,,,He lobbies Orgrimmar daily on behalf of bombs.,,Minion,GVG_099,,,
['Deathrattle'],,Mech,Boom Bot,,<b>Deathrattle</b>: Deal 1-4 damage to a random enemy.,,,1,1,1,,,,,Minion,GVG_110t,,,
,True,,Bouncing Blade,,Deal $1 damage to a random minion. Repeat until a minion dies.,Andrew Hou,Epic,,3,,,,Only goblins would think this was a good idea. Even they are starting to have their doubts.,,Spell,GVG_050,Warrior,,
,,,Brow Furrow,,Increased stats.,,,,,,,,,,Enchantment,GVG_100e,Warlock,,
,True,,Burly Rockjaw Trogg,,"Whenever your opponent casts a spell, gain +2 Attack.",Chris Rahn,Common,3,4,5,,,He's burly because he does CrossFit.,,Minion,GVG_068,,,
['ImmuneToSpellpower'],,,Burrowing Mine,,"When you draw this, it explodes. You take 10 damage and draw a card.",Chris Seaman,,,0,,,,,,Spell,GVG_056t,Warrior,,
,True,,Call Pet,,"Draw a card.
If it's a Beast, it costs (4) less.",E.M. Gist,Rare,,2,,,,Real hunters tame hungry crabs.,,Spell,GVG_017,Hunter,,
,,Beast,Chicken,,,,,1,1,1,,,,,Minion,GVG_092t,,,
,,,Cloaked,,Stealthed until your next turn.,,,,,,,,,,Enchantment,PART_004e,,,
,True,Mech,Clockwork Giant,,Costs (1) less for each card in your opponent's hand.,Dan Scott,Epic,8,12,8,,,He and Mountain Giant don't get along.,,Minion,GVG_121,,,
['Deathrattle'],True,Mech,Clockwork Gnome,,<b>Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,Matt Dixon,Common,2,1,1,,,Clockwork gnomes are always asking what time it is.,,Minion,GVG_082,,,
,True,Mech,Cobalt Guardian,,"Whenever you summon a Mech, gain <b>Divine Shield</b>.",Jim Nelson,Rare,6,5,3,,,"Guardians used to be built out of Adamantium, but production got moved to Gadgetzan and Cobalt was cheap.",,Minion,GVG_062,Paladin,,
,True,,Cobra Shot,,Deal $3 damage to a minion and the enemy hero.,Howard Lyon,Common,,5,,,,"""Cobra Shot"" hurts way, way, way more than ""Cobra Cuddle.""",,Spell,GVG_073,Hunter,,
['Battlecry'],True,,Coghammer,,<b>Battlecry:</b> Give a random friendly minion <b>Divine Shield</b> and <b>Taunt</b>.,Danny Orizio,Epic,2,3,,,,"So you ripped this out of a machine, carved some runes on it, stuck it on a handle, and now it's a weapon of great divine power? Seems legit.",,Weapon,GVG_059,Paladin,,3
['Aura'],True,,Cogmaster,,Has +2 Attack while you have a Mech.,Trent Kaniuga,Common,1,1,2,,,"After a while, you don't see the cogs and sprockets. All you see is a robot, a spider tank, a deathray...",,Minion,GVG_013,,,
['Aura'],True,,Cogmaster's Wrench,,Has +2 Attack while you have a Mech.,Richard Wright,Epic,1,3,,,,For tightening cogs and smashin' troggs!,,Weapon,GVG_024,Rogue,,3
,True,,Crackle,,Deal $3-$6 damage. <b>Overload: (1)</b>,Warren Mahy,Common,,2,,,,Snap! This card! Pop!,,Spell,GVG_038,Shaman,,
,True,,Crush,,"Destroy a minion. If you have a damaged minion, this costs (4) less.",Michael Sutfin,Epic,,7,,,,"Using this card on your enemies is one of the best things in life, according to some barbarians.",,Spell,GVG_052,Warrior,,
,True,,Dark Wispers,,<b>Choose One -</b> Summon 5 Wisps; or Give a minion +5/+5 and <b>Taunt</b>.,Trent Kaniuga,Epic,,6,,,,Don't worry; we fired the person who named this card.,,Spell,GVG_041,Druid,,
,,,Dark Wispers,,Summon 5 Wisps.,,,,,,,,,,Spell,GVG_041b,Druid,,
