mechanics,collectible,race,name,faction,text,artist,rarity,attack,cost,health,howToGetGold,inPlayText,flavor,howToGet,type,id,playerClass,elite,durability
,,,Anub'Rekhan,,,,,,,45,,,,,Hero,NAX1h_01,,,
,,,Anub'Rekhan,,,,,,,30,,,,,Hero,NAX1_01,,,
['Deathrattle'],True,,Anub'ar Ambusher,,<b>Deathrattle:</b> Return a random friendly minion to your hand.,Nate Bowden,Common,5,4,5,Can be crafted after completing the Rogue Class Challenge in Naxxramas.,,"Originally he was called ""Anub'ar Guy who bounces a guy back to your hand"", but it lacked a certain zing.",Unlocked by completing the Rogue Class Challenge in Naxxramas.,Minion,FP1_026,Rogue,,
['Secret'],True,,Avenge,,"<b>Secret:</b> When one of your minions dies, give a random friendly minion +3/+2.",Zoltan & Gabor,Common,,1,,Can be crafted after completing the Paladin Class Challenge in Naxxramas.,,"Several paladins have joined together to deliver justice under the name ""Justice Force.""  Their lawyer talked them out of calling themselves the Justice League.",Unlocked by completing the Paladin Class Challenge in Naxxramas.,Spell,FP1_020,Paladin,,
,,,Baron Rivendare,,,,,,,7,,,,,Hero,NAX9_01,,,
,,,Baron Rivendare,,,,,,,14,,,,,Hero,NAX9_01H,,,
['Aura'],True,,Baron Rivendare,,Your minions trigger their <b>Deathrattles</b> twice.,Ralph Horsley,Legendary,1,4,7,Can be crafted after completing the Military Quarter.,,There used to be five Horsemen but one of them left because a job opened up in the deadmines and the benefits were better.,Unlocked by completing the Military Quarter.,Minion,FP1_031,,True,
,,,Chains,,"<b>Hero Power</b>
Take control of a random enemy minion.",,,,8,,,,,,Hero Power,NAX15_04H,,,
,,,Chains,,"<b>Hero Power</b>
Take control of a random enemy minion until end of turn.",,,,8,,,,,,Hero Power,NAX15_04,,,
,,,Consume,,Increased stats.,,,,,,,,,,Enchantment,FP1_005e,,,
['Deathrattle'],True,,Dancing Swords,,<b>Deathrattle:</b> Your opponent draws a card.,Jon McConnell,Common,4,3,4,Can be crafted after defeating Instructor Razuvious in the Military Quarter.,,They like to dance to reggae.,Unlocked by defeating Instructor Razuvious in the Military Quarter.,Minion,FP1_029,,,
['Deathrattle'],True,,Dark Cultist,,<b>Deathrattle:</b> Give a random friendly minion +3 Health.,Phroilan Gardner,Common,3,3,4,Can be crafted after completing the Priest Class Challenge in Naxxramas.,,The Cult of the Damned has found it's best not to mention their name when recruiting new cultists.,Unlocked by completing the Priest Class Challenge in Naxxramas.,Minion,FP1_023,Priest,,
,,,Darkness Calls,,Increased stats.,,,,,,,,,,Enchantment,FP1_028e,,,
['Deathrattle'],True,,Death's Bite,,<b>Deathrattle:</b> Deal 1 damage to all minions.,Jim Nelson,Common,4,4,,Can be crafted after completing the Warrior Class Challenge in Naxxramas.,,"""Take a bite outta Death."" - McScruff the Deathlord",Unlocked by completing the Warrior Class Challenge in Naxxramas.,Weapon,FP1_021,Warrior,,2
,,,Deathbloom,,Deal $5 damage to a minion. Summon a Spore.,,,,4,,,,,,Spell,NAX6_03,,,
"['Charge', 'Deathrattle']",,,Deathcharger,,<b>Charge. Deathrattle:</b> Deal 3 damage to your hero.,,,2,1,3,,,,,Minion,FP1_006,,,
"['Deathrattle', 'Taunt']",True,,Deathlord,,<b>Taunt. Deathrattle:</b> Your opponent puts a minion from their deck into the battlefield.,Ben Olson,Rare,2,3,8,Can be crafted after defeating The Four Horsemen in the Military Quarter.,,"""Rise from your grave!"" - Kel'Thuzad",Unlocked by defeating The Four Horsemen in the Military Quarter.,Minion,FP1_009,,,
,,,Decimate,,Health changed to 1.,,,,,,,,,,Enchantment,NAX12_02e,,,
,,,Decimate,,"<b>Hero Power</b>
Change the Health of all minions to 1.",,,,2,,,,,,Hero Power,NAX12_02,,,
,,,Decimate,,"<b>Hero Power</b>
Change the Health of enemy minions to 1.",,,,0,,,,,,Hero Power,NAX12_02H,,,
['Secret'],True,,Duplicate,,"<b>Secret:</b> When a friendly minion dies, put 2 copies of it into your hand.",Alex Garner,Common,,3,,Can be crafted after completing the Mage Class Challenge in Naxxramas.,,The one time when duping cards won't get your account banned!,Unlocked by completing the Mage Class Challenge in Naxxramas.,Spell,FP1_018,Mage,,
['Battlecry'],True,,Echoing Ooze,,<b>Battlecry:</b> Summon an exact copy of this minion at the end of the turn.,Eric Browning,Epic,1,2,2,Can be crafted after defeating Sapphiron in the Frostwyrm Lair.,,OOZE... Ooze... Ooze... (ooze...),Unlocked by defeating Sapphiron in the Frostwyrm Lair.,Minion,FP1_003,,,
['OneTurnEffect'],,,Enrage,,+6 Attack this turn.,,,,,,,,,,Enchantment,NAX12_04e,,,
,,,Enrage,,Give your hero +6 Attack this turn.,,,,3,,,,,,Spell,NAX12_04,,,
,,,Eruption,,"<b>Hero Power</b>
Deal 3 damage to the left-most enemy minion.",,,,0,,,,,,Hero Power,NAX5_02H,,,
,,,Eruption,,"<b>Hero Power</b>
Deal 2 damage to the left-most enemy minion.",,,,1,,,,,,Hero Power,NAX5_02,,,
,,,Extra Teeth,,Increased Attack.,,,,,,,,,,Enchantment,NAX12_03e,,,
,,,Fallout Slime,,,,,2,1,2,,,,,Minion,NAX11_03,,,
,,,Feugen,,,,Legendary,4,5,7,,,,,Minion,NAX13_04H,,True,
['Deathrattle'],True,,Feugen,,"<b>Deathrattle:</b> If Stalagg also died this game, summon Thaddius.",Dany Orizio,Legendary,4,5,7,Can be crafted after completing the Construct Quarter.,,Feugen is sad because everyone likes Stalagg better.,Unlocked by completing the Construct Quarter.,Minion,FP1_015,,True,
['Freeze'],,,Frost Blast,,"<b>Hero Power</b>
Deal 2 damage to the enemy hero and <b>Freeze</b> it.",,,,0,,,,,,Hero Power,NAX15_02,,,
['Freeze'],,,Frost Blast,,"<b>Hero Power</b>
Deal 3 damage to the enemy hero and <b>Freeze</b> it.",,,,0,,,,,,Hero Power,NAX15_02H,,,
,,,Frost Breath,,"<b>Hero Power</b>
Destroy all enemy minions that aren't <b>Frozen</b>.",,,,0,,,,,,Hero Power,NAX14_02,,,
['Aura'],,,Frozen Champion,,Permanently Frozen.  Adjacent minions are Immune to Frost Breath.,,,2,5,10,,,,,Minion,NAX14_03,,,
,,,Fungal Growth,,Increased Attack.,,,,,,,,,,Enchantment,NAX6_03te,,,
,,,Gluth,,,,,,,45,,,,,Hero,NAX12_01H,,,
,,,Gluth,,,,,,,30,,,,,Hero,NAX12_01,,,
,,,Gothik the Harvester,,,,,,,30,,,,,Hero,NAX8_01,,,
,,,Gothik the Harvester,,,,,,,45,,,,,Hero,NAX8_01H,,,
,,,Grand Widow Faerlina,,,,,,,45,,,,,Hero,NAX2_01H,,,
,,,Grand Widow Faerlina,,,,,,,30,,,,,Hero,NAX2_01,,,
,,,Grobbulus,,,,,,,45,,,,,Hero,NAX11_01H,,,
,,,Grobbulus,,,,,,,30,,,,,Hero,NAX11_01,,,
['Taunt'],,,Guardian of Icecrown,,<b>Taunt</b>,,,5,4,5,,,,,Minion,NAX15_03t,,,
['Taunt'],,,Guardian of Icecrown,,<b>Taunt</b>,,,3,4,3,,,,,Minion,NAX15_03n,,,
,,,Harvest,,"<b>Hero Power</b>
Draw a card.",,,,2,,,,,,Hero Power,NAX8_02,,,
,,,Harvest,,"<b>Hero Power</b>
Draw a card. Gain a Mana Crystal.",,,,1,,,,,,Hero Power,NAX8_02H,,,
,,,Hateful Strike,,"<b>Hero Power</b>
Destroy a minion.",,,,4,,,,,,Hero Power,NAX10_03H,,,
,,,Hateful Strike,,"<b>Hero Power</b>
Destroy a minion.",,,,4,,,,,,Hero Power,NAX10_03,,,
['Deathrattle'],True,Beast,Haunted Creeper,,<b>Deathrattle:</b> Summon two 1/1 Spectral Spiders.,Jeremy Cranford,Common,1,2,2,Can be crafted after defeating Anub'Rekhan in the Arachnid Quarter.,,Arachnofauxbia: Fear of fake spiders.,Unlocked by defeating Anub'Rekhan in the Arachnid Quarter.,Minion,FP1_002,,,
,,,Heigan the Unclean,,,,,,,30,,,,,Hero,NAX5_01,Warlock,,
,,,Heigan the Unclean,,,,,,,45,,,,,Hero,NAX5_01H,Warlock,,
['Deathrattle'],,,Hook,,<b>Deathrattle:</b> Put this weapon into your hand.,,,5,3,,,,,,Weapon,NAX10_02,,,8
"['Deathrattle', 'Windfury']",,,Hook,,"<b>Windfury</b>
<b>Deathrattle:</b> Put this weapon into your hand.",,,4,3,,,,,,Weapon,NAX10_02H,,,8
,,,Instructor Razuvious,,,,,,,55,,,,,Hero,NAX7_01H,,,
