mechanics,collectible,race,name,faction,text,artist,rarity,attack,cost,health,howToGetGold,inPlayText,flavor,howToGet,type,id,playerClass,elite,durability
,,Beast,Chicken,,<i>Hey Chicken!</i>,,,1,0,1,,,,,Minion,Mekka4t,,,
['Battlecry'],True,,Elite Tauren Chieftain,,<b>Battlecry:</b> Give both players the power to ROCK! (with a Power Chord card),Samwise Didier,Legendary,5,5,5,Awarded at BlizzCon 2013.,,"He's looking for a drummer.  The current candidates are: Novice Engineer, Sen'jin Shieldmasta', and Ragnaros the Firelord.",,Minion,PRO_001,,True,
,,,Emboldened!,,Increased Stats.,,,,,,,,,,Enchantment,Mekka3e,,,
,,Mech,Emboldener 3000,Alliance,"At the end of your turn, give a random minion +1/+1.",,Common,0,1,4,,Emboldening,,,Minion,Mekka3,,,
['Battlecry'],True,,Gelbin Mekkatorque,Alliance,<b>Battlecry:</b> Summon an AWESOME invention.,Ludo Lullabi,Legendary,6,6,6,This was rewarded to players who helped test the Store during the Beta.,,"He's the leader of the gnomes, and an incredible inventor.  He's getting better, too; He turns things into chickens WAY less than he used to.",,Minion,EX1_112,,True,
,,Mech,Homing Chicken,Alliance,"At the start of your turn, destroy this minion and draw 3 cards.",,Common,0,1,1,,Pecking,,,Minion,Mekka1,,,
,,,I Am Murloc,,"Summon three, four, or five 1/1 Murlocs.",,,,4,,,,,,Spell,PRO_001a,,,
,,Murloc,Murloc,,,,,1,1,1,,,,,Minion,PRO_001at,,,
,,Mech,Poultryizer,Alliance,"At the start of your turn, transform a random minion into a 1/1 Chicken.",,Common,0,1,3,,Poultryizing,,,Minion,Mekka4,,,
,,,Power of the Horde,,Summon a random Horde Warrior.,,,,4,,,,,,Spell,PRO_001c,,,
,,Mech,Repair Bot,Alliance,"At the end of your turn, restore 6 Health to a damaged character.",,Common,0,1,3,,Repairin',,,Minion,Mekka2,,,
,,,Rogues Do It...,,Deal $4 damage. Draw a card.,,,,4,,,,,,Spell,PRO_001b,,,
['Morph'],,,Transformed,,Has been transformed into a chicken!,,,,,,,,,,Enchantment,Mekka4e,,,
